Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
84	:	1613889700.438	  5782.490	0	209	0	0	PIPELINE INCOV039-BL
85	:	1613892852.110	 10622.489	0	209	0	0	PIPELINE INCOV039-AC
87	:	1613903474.633	   941.518	0	209	0	0	PIPELINE INCOV040-BL
86	:	1613895483.051	  9269.122	0	209	0	0	PIPELINE INCOV039-CV
88	:	1613904416.158	  1781.964	0	209	0	0	PIPELINE INCOV040-AC
82	:	1613885222.009	 22976.108	0	209	0	0	PIPELINE INCOV036-AC
91	:	1613908198.146	   892.923	0	209	0	0	PIPELINE INCOV041-AC
80	:	1613882038.155	 28586.255	0	209	0	0	PIPELINE INCOV035-AC
89	:	1613904752.230	  7058.898	0	209	0	0	PIPELINE INCOV040-CV
94	:	1613911811.166	  2806.912	0	209	0	0	PIPELINE INCOV042-CV
76	:	1613877552.287	 37157.444	0	209	0	0	PIPELINE INCOV033-AC
95	:	1613914618.086	   732.157	0	209	0	0	PIPELINE INCOV043-BL
96	:	1613914709.738	   977.440	0	209	0	0	PIPELINE INCOV043-AC
97	:	1613915350.250	   948.375	0	209	0	0	PIPELINE INCOV044-BL
98	:	1613915687.185	  1395.170	0	209	0	0	PIPELINE INCOV044-AC
93	:	1613910624.526	  6890.483	0	209	0	0	PIPELINE INCOV042-AC
81	:	1613884339.919	 33836.909	0	209	0	0	PIPELINE INCOV036-BL
102	:	1613918176.857	  1033.651	0	209	0	0	PIPELINE INCOV047-BL
92	:	1613909091.075	 10628.029	0	209	0	0	PIPELINE INCOV042-BL
103	:	1613919210.548	  1651.569	0	209	0	0	PIPELINE INCOV047-AC
104	:	1613919719.111	  1516.494	0	209	0	0	PIPELINE INCOV048-BL
100	:	1613917082.362	  4275.507	0	209	0	0	PIPELINE INCOV045-AC
90	:	1613906198.130	 17278.455	0	209	0	0	PIPELINE INCOV041-BL
99	:	1613916298.634	  7318.013	0	209	0	0	PIPELINE INCOV045-BL
105	:	1613920862.154	  4064.319	0	209	0	0	PIPELINE INCOV049-BL
107	:	1613921357.877	  5222.730	0	209	0	0	PIPELINE INCOV050-BL
109	:	1613923616.655	  4864.578	0	209	0	0	PIPELINE INCOV051-BL
106	:	1613921235.614	 10770.273	0	209	0	0	PIPELINE INCOV049-AC
108	:	1613923476.634	  8720.557	0	209	0	0	PIPELINE INCOV050-AC
110	:	1613924926.507	  9132.805	0	209	0	0	PIPELINE INCOV051-AC
112	:	1613928481.289	  5803.520	0	209	0	0	PIPELINE INCOV052-BL
114	:	1613932197.199	  3127.492	0	209	0	0	PIPELINE INCOV053-BL
117	:	1613935324.730	  1749.928	0	209	0	0	PIPELINE INCOV055-BL
115	:	1613934059.347	  3536.279	0	209	0	0	PIPELINE INCOV053-AC
116	:	1613934284.817	  5095.336	0	213	0	0	PIPELINE INCOV053-PD1
113	:	1613932005.910	 11048.194	0	209	0	0	PIPELINE INCOV052-AC
111	:	1613926580.640	 19675.301	0	209	0	0	PIPELINE INCOV051-CV
119	:	1613937595.661	  9992.621	0	209	0	0	PIPELINE INCOV056-AC
101	:	1613917515.017	 32258.840	0	209	0	0	PIPELINE INCOV045-CV
121	:	1613943054.156	  8381.134	0	209	0	0	PIPELINE INCOV057-BL
122	:	1613946255.971	  8439.090	0	209	0	0	PIPELINE INCOV057-AC
125	:	1613951435.350	 10195.476	0	209	0	0	PIPELINE INCOV058-AC
124	:	1613949773.986	 14095.723	0	209	0	0	PIPELINE INCOV058-BL
127	:	1613961630.864	  5880.501	0	209	0	0	PIPELINE INCOV059-BL
118	:	1613937074.686	 31669.446	0	209	0	0	PIPELINE INCOV056-BL
123	:	1613947588.363	 24924.193	0	209	0	0	PIPELINE INCOV057-CV
128	:	1613963869.762	  9830.330	0	209	0	0	PIPELINE INCOV059-AC
130	:	1613968744.262	  7904.521	0	209	0	0	PIPELINE INCOV060-BL
129	:	1613967511.405	 10556.091	0	209	0	0	PIPELINE INCOV059-CV
126	:	1613954695.106	 27167.419	0	209	0	0	PIPELINE INCOV058-CV
120	:	1613939380.184	 44376.236	0	209	0	0	PIPELINE INCOV056-CV
133	:	1613976648.822	  7373.104	0	209	0	0	PIPELINE INCOV061-BL
136	:	1613983756.572	  6056.910	0	209	0	0	PIPELINE INCOV062-BL
131	:	1613972512.592	 24565.388	0	209	0	0	PIPELINE INCOV060-AC
137	:	1613984021.968	 14197.239	0	209	0	0	PIPELINE INCOV062-AC
138	:	1613989813.513	  9420.010	0	209	0	0	PIPELINE INCOV063-BL
134	:	1613978067.529	 28527.468	0	209	0	0	PIPELINE INCOV061-AC
140	:	1613998219.240	  9837.595	0	209	0	0	PIPELINE INCOV063-CV
135	:	1613981862.663	 28325.904	0	209	0	0	PIPELINE INCOV061-CV
132	:	1613973700.124	 40066.221	0	209	0	0	PIPELINE INCOV060-CV
144	:	1614010188.653	  8095.721	0	209	0	0	PIPELINE INCOV067-BL
139	:	1613997078.082	 21364.287	0	209	0	0	PIPELINE INCOV063-AC
142	:	1614006595.121	 19682.180	0	209	0	0	PIPELINE INCOV066-AC
143	:	1614008056.870	 18394.205	0	209	0	0	PIPELINE INCOV066-CV
147	:	1614018442.377	  8337.659	0	209	0	0	PIPELINE INCOV068-BL
146	:	1614018284.416	  9550.488	0	209	0	0	PIPELINE INCOV067-CV
145	:	1614013766.461	 16139.799	0	209	0	0	PIPELINE INCOV067-AC
150	:	1614026780.068	  8349.888	0	209	0	0	PIPELINE INCOV069-BL
141	:	1613999233.548	 36380.930	0	209	0	0	PIPELINE INCOV066-BL
153	:	1614035129.988	  2770.801	0	209	0	0	PIPELINE INCOV070-BL
148	:	1614026277.585	 11975.420	0	209	0	0	PIPELINE INCOV068-AC
151	:	1614027834.934	 13211.066	0	209	0	0	PIPELINE INCOV069-AC
152	:	1614029906.291	 12198.675	0	209	0	0	PIPELINE INCOV069-CV
156	:	1614038253.030	  6111.789	0	209	0	0	PIPELINE INCOV071-AC
157	:	1614041046.031	  3416.365	0	209	0	0	PIPELINE INCOV072-BL
155	:	1614037900.822	  7224.467	0	209	0	0	PIPELINE INCOV071-BL
160	:	1614044462.404	  3951.440	0	209	0	0	PIPELINE INCOV073-AC
159	:	1614044364.856	  5398.720	0	209	0	0	PIPELINE INCOV073-BL
158	:	1614042105.006	  8043.030	0	209	0	0	PIPELINE INCOV072-AC
163	:	1614049763.614	  2381.873	0	209	0	0	PIPELINE INCOV074-AC
